Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,em,ww_fiber_bundle_D,WM,215.0,2.3,2.27,0.19,2.18,2.41,2.08,2.56,3,0.014,66.05,93.13,41.42,83.89,91.58,41.9
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,opt,o_optic_B,WM,1550.0,2.31,2.21,0.4,2.02,2.47,1.82,3.59,48,0.031,62.69,94.17,41.01,52.73,92.76,40.76
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,BLA,d_Amygdala_E,AMY,3279.0,2.51,2.35,0.77,2.04,2.68,1.82,7.16,96,0.029,62.31,86.03,18.99,49.1,86.47,20.56
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,LA,d_Amygdala_D,AMY,1238.0,2.48,2.29,0.6,1.99,2.77,1.82,4.43,80,0.065,60.66,89.62,27.32,40.17,91.8,26.13
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MD,h_Thalamus_N,THA,751.0,2.54,2.65,0.28,2.4,2.73,2.15,2.81,3,0.004,61.12,87.05,36.64,66.0,90.0,37.07
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,IAM,h_Thalamus_K,THA,474.0,2.24,2.11,0.41,1.9,2.53,1.84,3.17,17,0.036,61.1,82.05,40.45,66.43,81.55,40.87
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,sm,ww_fiber_bundle_J,WM,304.0,2.77,2.51,0.81,2.17,3.04,1.81,5.46,31,0.102,61.84,79.01,43.42,66.42,81.14,45.41
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VAL,h_Thalamus_A,THA,414.0,2.09,2.09,0.26,1.96,2.22,1.83,2.35,2,0.005,60.88,81.56,37.93,74.56,85.0,42.56
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,VM,h_Thalamus_B,THA,1034.0,2.67,2.66,0.56,2.17,3.03,1.82,3.8,30,0.029,60.22,84.53,31.18,57.62,82.76,29.06
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AV,h_Thalamus_J,THA,180.0,2.45,2.44,0.39,2.11,2.69,1.93,3.22,13,0.072,60.86,79.51,44.52,61.02,79.27,44.81
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PVT,h_Thalamus_M,THA,1312.0,2.29,2.16,0.46,1.98,2.37,1.83,3.85,54,0.041,61.59,81.59,36.98,62.63,78.93,37.83
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PT,h_Thalamus_O,THA,293.0,2.13,2.13,0.0,2.13,2.13,2.13,2.13,1,0.003,61.14,81.61,33.88,58.0,80.0,35.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SPA,h_Thalamus_E,THA,224.0,2.38,2.38,0.0,2.38,2.38,2.38,2.38,1,0.004,61.55,90.46,31.51,56.0,90.0,30.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,IMD,h_Thalamus_L,THA,83.0,2.17,2.17,0.0,2.17,2.17,2.17,2.17,1,0.012,60.86,85.96,34.23,65.0,91.0,36.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,CM,h_Thalamus_R,THA,164.0,1.89,1.89,0.08,1.85,1.93,1.81,1.97,2,0.012,61.45,80.51,30.54,64.0,77.96,35.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,MH,h_Thalamus_U,THA,204.0,2.23,2.17,0.39,1.96,2.34,1.82,3.34,12,0.059,61.25,87.96,45.93,68.1,88.06,46.52
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PF,h_Thalamus_T,THA,573.0,2.28,2.15,0.35,2.0,2.54,1.84,2.98,11,0.019,60.89,91.72,40.25,59.92,92.41,39.57
