Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VPM,h_Thalamus_C,THA,919.0,0.76,0.71,0.17,0.63,0.84,0.55,1.3,104,0.113,60.96,86.57,39.31,58.3,87.51,40.18
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,RT,h_Thalamus_Q,THA,2486.0,0.92,0.85,0.3,0.68,1.09,0.55,2.25,1005,0.404,63.69,80.58,35.87,61.16,77.62,34.43
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,ZI,i_Hypothalamus_I,HYP,1804.0,0.87,0.79,0.28,0.66,1.03,0.55,2.33,657,0.364,60.62,87.53,28.15,59.74,83.45,26.41
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VPL,h_Thalamus_D,THA,1295.0,0.75,0.72,0.17,0.61,0.82,0.55,1.26,185,0.143,63.15,83.97,36.06,64.68,81.61,37.11
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MG,h_Thalamus_F,THA,1125.0,0.7,0.69,0.12,0.59,0.77,0.55,0.96,62,0.055,61.85,99.3,39.54,65.95,99.18,41.97
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LGd,h_Thalamus_G,THA,60.0,0.89,0.84,0.24,0.72,0.98,0.57,1.45,31,0.517,58.28,88.53,42.92,44.0,88.34,43.07
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LP,h_Thalamus_H,THA,1338.0,0.74,0.7,0.16,0.62,0.82,0.55,1.36,371,0.277,62.02,87.16,46.93,65.92,87.1,47.28
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MOBmi,a_Olfactory_D,OLF,1090.0,1.28,1.28,0.35,1.01,1.52,0.55,2.49,1003,0.92,60.97,26.88,47.92,60.37,27.36,46.64
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,Gr,p_Pons_G,HB,271.0,0.98,0.95,0.28,0.79,1.13,0.55,2.04,233,0.86,59.13,36.82,49.08,59.0,37.12,48.73
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MS,e_Striatum/pallidum_I,STR/PAL,222.0,0.98,0.96,0.19,0.87,1.1,0.55,1.72,220,0.991,61.15,61.59,30.54,61.12,61.77,30.26
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LSc,e_Striatum/pallidum_E,STR/PAL,293.0,0.77,0.74,0.18,0.63,0.87,0.55,1.49,83,0.283,61.53,61.21,40.87,61.56,60.38,39.84
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LSr,e_Striatum/pallidum_F,STR/PAL,1873.0,0.78,0.75,0.18,0.64,0.89,0.55,1.52,1059,0.565,61.06,60.49,33.58,60.64,61.73,33.92
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PIR,b_CerebralCortex_I,CTX,10350.0,0.88,0.83,0.24,0.67,1.03,0.55,1.87,1554,0.15,61.88,72.47,20.36,61.73,50.68,27.39
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,NDB,e_Striatum/pallidum_J,STR/PAL,636.0,0.95,0.96,0.19,0.8,1.08,0.55,1.55,389,0.612,60.89,58.53,21.16,61.2,59.39,22.7
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,EPd,a_Olfactory_J,OLF,915.0,0.88,0.82,0.26,0.66,1.01,0.55,1.81,293,0.32,58.32,52.65,32.04,62.16,51.96,28.91
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MPO,i_Hypothalamus_B,HYP,1385.0,0.82,0.77,0.22,0.65,0.93,0.55,1.8,694,0.501,61.13,69.31,18.37,61.32,68.06,20.99
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,RE,h_Thalamus_P,THA,470.0,0.76,0.71,0.18,0.61,0.86,0.56,1.28,52,0.111,61.05,83.18,26.23,61.08,80.45,26.0
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PO,h_Thalamus_S,THA,1228.0,0.76,0.71,0.18,0.61,0.88,0.55,1.35,47,0.038,61.76,90.05,38.63,47.38,91.33,42.14
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,em,ww_fiber_bundle_D,WM,215.0,0.75,0.69,0.17,0.63,0.84,0.55,1.35,61,0.284,66.05,93.13,41.42,62.98,91.89,41.77
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,opt,o_optic_B,WM,1550.0,0.83,0.77,0.23,0.66,0.94,0.55,1.78,606,0.391,62.69,94.17,41.01,57.81,94.15,42.35
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,BLA,d_Amygdala_E,AMY,3279.0,0.83,0.8,0.23,0.65,0.96,0.55,1.84,500,0.152,62.31,86.03,18.99,46.38,91.93,21.12
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LA,d_Amygdala_D,AMY,1238.0,0.81,0.76,0.2,0.65,0.93,0.55,1.45,330,0.267,60.66,89.62,27.32,52.96,88.12,27.17
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MD,h_Thalamus_N,THA,751.0,0.78,0.74,0.15,0.68,0.85,0.61,1.22,24,0.032,61.12,87.05,36.64,56.09,86.84,42.3
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,IAM,h_Thalamus_K,THA,474.0,0.75,0.68,0.18,0.61,0.84,0.55,1.49,83,0.175,61.1,82.05,40.45,64.95,80.9,41.21
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,sm,ww_fiber_bundle_J,WM,304.0,0.89,0.76,0.32,0.64,1.1,0.55,1.73,90,0.296,61.84,79.01,43.42,59.86,79.9,43.79
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VAL,h_Thalamus_A,THA,414.0,0.7,0.66,0.13,0.6,0.78,0.55,1.13,48,0.116,60.88,81.56,37.93,61.53,79.36,37.23
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VM,h_Thalamus_B,THA,1034.0,0.69,0.67,0.12,0.58,0.75,0.55,1.04,73,0.071,60.22,84.53,31.18,58.95,82.88,28.9
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,AV,h_Thalamus_J,THA,180.0,0.72,0.68,0.14,0.59,0.81,0.55,1.06,55,0.306,60.86,79.51,44.52,61.02,79.14,44.44
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PVT,h_Thalamus_M,THA,1312.0,0.75,0.69,0.21,0.62,0.81,0.55,2.0,279,0.213,61.59,81.59,36.98,61.22,79.37,35.88
